,ClientMacAddr,Trust,Standardized_Trust
143,00:0c:e7:3d:f9:fc,0.022116327347748783,-0.6751048331045898
144,00:0c:e7:3e:3b:75,0.007812507984057263,-0.9372119441889991
145,00:0c:e7:3e:47:ae,0.038101969,-0.38217954890127803
146,00:0c:e7:3e:c2:19,0.030455874,-0.5222886918211123
147,00:0c:e7:3f:0e:d3,0.03793750595186919,-0.3851932149249922
148,00:0c:e7:3f:58:23,0.030455873999999997,-0.5222886918211123
149,00:0c:e7:3f:99:68,0.03179144044684633,-0.49781540576069483
150,00:0c:e7:40:92:6f,0.08849331857009637,0.5412053683460174
151,00:0c:e7:41:aa:ef,0.02992567374439751,-0.5320042267952843
152,00:0c:e7:42:08:c0,0.026407941999999997,-0.5964641085688469
153,00:0c:e7:42:fc:2a,0.033507887,-0.4663627681162417
154,00:0c:e7:43:12:e7,0.01981420105039456,-0.7172896270962301
155,00:0c:e7:43:80:4b,0.05230186,-0.12197684967179324
156,00:0c:e7:44:21:13,0.034246795,-0.4528228151629226
157,00:0c:e7:44:44:bb,0.045330421,-0.24972341091748868
158,00:0c:e7:44:67:6d,0.06261445,0.06699387933218245
159,00:0c:e7:45:04:19,0.036881164,-0.4045499147183713
160,00:0c:e7:45:a9:32,0.035403265725788585,-0.4316313282402362
161,00:0c:e7:46:92:d7,0.022085245976733503,-0.6756743766760107
162,00:0c:e7:49:3d:03,0.038358981,-0.3774699904874586
163,00:0c:e7:49:b4:2f,0.03891278305070614,-0.36732196974331616
164,00:0c:e7:49:b4:81,0.041603752,-0.31801191629649794
165,00:0c:e7:49:fb:7a,0.041378867,-0.32213277074645275
166,00:0c:e7:4a:78:36,0.015131558,-0.8030956633003709
167,00:0c:e7:4a:84:8c,0.033379381,-0.4687175473231514
168,00:0c:e7:4a:f1:51,0.03264866663964892,-0.48210735777515407
169,00:0c:e7:4c:72:ac,0.03566898363020877,-0.4267622404448627
170,00:0c:e7:4c:ba:22,0.03701366176951124,-0.4021219892315693
171,00:0c:e7:4c:c5:bf,0.049185594000000006,-0.17908016298011847
172,00:0c:e7:4d:68:31,0.029144790975739993,-0.5463133369276423
173,00:0c:e7:4d:aa:16,0.045330421,-0.24972341091748868
174,00:0c:e7:4e:d5:6c,0.06261445,0.06699387933218245
